Advent of Code 2017 Clojure (day,part1 msecs,part2 msecs) 
day1,176.812655,242.029578
day2,21.232938,40.912055
day3,17.360398,8.368565
day4,46.02132,63.02932
day5,219.703792,7277.358637
day6,237.888171,263.617232
day7,48.704749,73.619182
day8,504.544371,542.04844
day9,19.469419,11.625811
day10,14.610573,428.57963
day11,20.614848,15617.499066
day12,37.987447,74.93452
day13,15.236304,108500.627301
day14,13477.978623,14571.006343
day15,369381.775355,56488.188918
day16,182.222683,6278.88059
day17,400.549834,3669.919355
day18,36.205816,589.655241
day19,277.329787,163.97038
day20,27.179924,4333.376252
day21,96.941699,147348.645913
day22,106.66023,29456.641553
day23,310.571969,851.599005
day24,90357.462899,92617.476434
day25,5009.823924,0.0

